sur_id,title,sic,keyword,naics
58,"Airports, Flying Fields, and Airport Terminal Services",4581,air traffic control airport operations transportation terminals handling air freight aviation service aircraft passengers airfreight ,"488111, 488119, 561720, 488190"
443133,Online Baby & Infant Apparel Sales,,wholesalers  wholesale distributors distribution womens children infant apparel blouses dresses sportswear unisex underwear lingerie hosiery outerwear hats  skirts handbags handkerchiefs gloves mitten diapers hospital gowns baby goods accessories,
60,Alcoholic Beverages,,,
61,Alcoholic Drinks,,alcohols beverages alcoholic beers ciders fabs flavored spirits wines beer ciders fabs flavored spirits wines,445310
62,Alcoholic Drinks: Global,,alcohols beverages alcoholic beers ciders fabs flavored spirits wines beer ciders fabs flavored spirits wines flavoured,445310
441575,Entertainment and Games Software,,leisure hobbies hobby videos games consoles software gaming xbox nintendo handheld portable psp internet online accessories controllers memory cards sticks carrying cases computer games ,
64,Alkalies and Chlorine,2812,compressed liquefied hydroxide sodium bicarbonates soda ash chemicals,325181
65,All Other Specialty Food Stores,5499,retail sales specialized foods eggs poultry health  spices herbs coffee tea fowl meat markets  foods,"445210, 722211, 446191, 445299"
66,Alternative Carriers: Global,,communications bandwidth fiber optic cables networks wireless telecoms telecomms  telecommunications data transmissions digital telecomms  telecommunications communications equipment services telecomms  telecoms,"517212, 517310, 517410"
67,Aluminum,,metals materials production minerals mining,"331316, 331521, 331312"
68,Aluminum Die-Castings,3363,dies  metals steels manufacturing  alloys aluminums casting metals mining,331521
69,Aluminum Extruded Products,3354,metals alloys manufacturing  aluminums rods bars pipes tubes blooms metals mining,331316
70,Aluminum Foundries,3365,alloys castings manufacturing aluminums  metals mining,331524
71,"Aluminum Rolling and Drawing, Not Elsewhere Classified",3355,manufacturing aluminums ingots alloys rolled casts rods bars rolling drawings metals mining,331319
72,"Aluminum Sheet, Plate, and Foil",3353,metals mining aluminums manufacturing rolling alloys sheets plates foils welded tubes castings,331315
73,Aluminum: Global,,metals materials,
74,American Lifestyles,,consumer spending markets expenditures households characteristics education race age employment income demographics food health entertainment younger older baby boomers consumer behavior,
442567,Attitudes Toward Hospitals,,emergency rooms hospitalized hospitalization health healthcare sick illness doctors urgent care,
442568,Customer Relationship Management,,customers loyalty CRM satisfaction customer service,
442569,Dining Out: A 2013 Look Ahead,,restaurants chains bars grills midscales steak Italian seafood ethnic,
76,American Parenting Styles,,men women children child under 18 parents culture  norms practices rituals values childbirth social economic styles labor force participation household compositions demographics lifestyles consumer behavior,
77,"Ammunition, Except for Small Arms",3483,bombs bullets projectiles grenades manufacturing components  mines torpedoes grenades depth charges chemical warfare projectiles  defense guns fire ,332993
78,"Amusement and Recreation Services, Not Elsewhere Classified",7999,sports bathing beaches swimming pools lottery operations riding academies schools gaming establishments carnival exposition horse shows picnic grounds areas ski resorts shooting galleries arcades nature recreations leisure hobbies hobby,"561599, 487990, 711190, 711219, 713920, 713940, 713210, 713290, 712190, 611620, 532292, 487110, 487210, 713990"
79,Amusement Parks,7996,theme mechanical rides refreshment stands picnic grounds kiddies children kiddie  piers centers  leisure ,713110
441571,Electronic Components and Semiconductor Wholesalers,,industrial semi-conductors computers semiconductors manufacturing manufacture sale devices integrated discrete ,
81,Animal and Marine Fats and Oils,2077,manufacturing fish meal rendering in edible stearin grease tallow  by-product processing seafood canning foods,"311613, 311711"
82,Animal Aquaculture,273,Finfish Farming Fish Hatcheries Shellfish Farms foods agriculture agricultural,
83,"Animal Specialties, Not Elsewhere Classified",279,production animals pets bees worms laboratory alligator farms apiaries aviaries cat farms dog frog honey kennels breeders breeds rats mice guinea pigs rattlesnake silks silkworms agriculture,"112910, 112990"
84,"Animal Specialty Services, Except Veterinary",752,services pets animals equines kennels shelters stables breeders care services,"115210, 612910"
85,Anthracite Mining,1231,mines preparation plants metals mining,212113
86,Anti-Aging Skincare Treatment,,personal care skin facials moisturizers creams lotions serums eyes wrinkle anti minimizes microdermabrasion kits exfoliates exfoliations eliminate dead cells scrub tone polish body firming beauty supplies cosmetics,
441570,Electronic Components and Semiconductor Manufacture,,industrial semi-conductors computers semiconductors manufacturing manufacture sale devices integrated discrete ,
89,Deodorants and Antiperspirants,,hygiene personal care toiletries men women aerosols sprays pumps roll ons solid sticks gels creams,
90,Apparel,,clothing wardrobes fashions retail sportswear outerwear skiwear activewear footwear accessories menswear womenswear jeanswear workwear intimate lingerie mens womens,
91,Apparel and Accessories Retail,,retailing sales clothing,
92,"Apparel and Accessories, Not Elsewhere Classified",2389,Apparel Women's  Girls' Lingerie Loungewear Nightwear  manufacturing suspenders gaffers handkerchiefs caps gowns vestments costumes nonwoven textiles joining cutting  mens boys womens clothing,
441370,The Business of Food: Encyclopedia of the Food and Drink Industries,,,
441531,Commercial and Industrial Equipment Rental,,machinery durables industrial equipment aerospace defense building construction engineering electrical civil electric cables wires power generating turbines non-residential non-building contractors space  components home improvement machinery accessories,
95,Apparel and Textiles: Global,,clothing accessories luxury goods footwear textile shoes retailing retail,"448140, 448190, 313210, 313312, 314911, 314999, 315191"
96,Apparel Belts,2387,accessories women's men's leather nubuck suede buckles womens mens belts clothing,
97,Apparel Retail,,clothing menswear womenswear infantswear infants womens mens boys children girls  outerwear underwear dresses suits coats jackets tops skirts shirts blouses sweatshirts sweaters retailing retailers retail," 448140, 448190, 45998"
98,Apparel Retail: Global,,clothing menswear womenswear infantswear infants womens mens boys children girls  outerwear underwear dresses suits coats jackets tops skirts shirts blouses sweatshirts sweaters retailing retailers retail," 448140, 448190, 45998"
100,"Apparel, Accessories and Luxury Goods: Global",,clothing accessory  mens womens infants childrens boys girls jewelry watches leather goods handbags wallets luggage purses bags ,"448140, 448190, 315999, 448150"
101,Appliances,,household,
102,Application Software: Global,,technology computers enterprise office technical personal collaborative commercial consumer specialized applications  business systems,443120
103,Arboreta and Botanical or Zoological Gardens,8422,Zoos Botanical Gardens Nature Parks arboretas zoological  exhibits aquariums hobbies leisure,"712130, 712190"
104,Architectural and Ornamental Metal Work,3446,manufacturing stairs staircases steel flooring grating fire escapes grilles railings fences gates construction  ramps ladders lamp posts flag poles brass fixtures adornments construction,332323
105,Architectural Services,8712,architects design firms construction designers,541310
106,Armature Rewinding Shops,7694,rewind re-wind armatures  rebuild repair electric motors  equipment generators motors  industrial machinery equipment ,"811310, 335312"
107,"Arrangement of Passenger Transportation, Not Elsewhere Classified",4729,ticket offices railroads buses ships airlines reservation services travel  transportation accommodations hotels car rentals ,"488999, 561599"
108,Arrangement of Transportation of Freight and Cargo,4731,shipping agents freight cargo forwarders intermodel shipments logistics,"541618, 488510"
109,Asbestos Products,3292,asbestos textiles building materials insulating boilers pipes  metals mining,"336340, 327999"
110,Asian American Lifestyles,,demographics socioeconomics characteristics consumer behavior attitudes Asians lifestyles ,
111,Asphalt Felts and Coatings,2952,Asphalts Shingles Coatings Manufacturing  roof cements coatings roofing compounds tar pitch tarpapers petroleums waterproofing tilings  chemicals,324122
112,Asphalt Paving Mixtures and Blocks,2951,manufacturing tars paving blocks  roads highways parking lots walkways paved construction building materials,
441526,Coal Mining,,contract fee basis contracted out outsourced nonunion removal of overburden stripping mine face auguring culm bank mining drilling tunneling shaft sinking mining,
441525,Clothing Stores,,retail clothing furnishings accessories mens womens childrens boys girls apparel,
441459,Casinos and Gaming,,gambling gamble casinos leisure online on-line traditional betting sports lottery lotteries slot machines bingo leisure ,
441458,Books,,publishers periodicals newspapers printers printing  texts juvenile adult trade professional educational religious mail order paperback medial legal university press printing,
442704,High Frequency Trading,,trades securities brokers traders hedge funds,
442705,Pawn Shops,,loans,
442706,e-Trading Software Developers,,traders trades securities markets ,
118,Footwear,,sneakers footwear apparel shoes running jogging basketball casual cross-training  walking hiking boots  aerobic baseball softball boat deck bowling cheerleading cycling fitness football golf hunting soccer sports sandals track trail volleyball water sport,
119,Attitudes and Behaviors of Males 18-24,,lifestyles consumer expenditures home bachelor peer influence college television internet sports electronics,
120,Attitudes of 18-24s Towards Consumer Electronics,,videos home household audios personal computers pcs  games consoles hardware software handhelds pdas mp3 players cameras dvds personal digital assistances lifestyles ,
121,Attitudes to Food: Weight and Diet,,foods weightloss dieting  lifestyles consumer behavior  loss low calorie ,
122,Attitudes Towards Advertising in Digital and Broadcast Media,,advertising marketing media televisions digital video recorders types platforms ,
123,Attitudes Towards Aging: Volume 1,,demographics skincare anti aging creams hair care body care dental  vitamins prescriptions sexual performance enhancers diet exercise attitudes makeup make up drugs facials skin  lifestyles consumer behavior,
124,Attitudes Towards Aging: Volume 2,,demographics skincare anti aging creams haircare body care dental  vitamins prescriptions sexual performance enhancers diet exercise attitudes makeup make up drugs facials skin  lifestyles consumer behavior,
125,Attitudes Towards Diet and Exercise,,healthcare health care weightloss weight loss diets workouts working out exercises consumer behaviors lifestyles obesity obese ,
126,Attitudes Towards Dining Out,,restaurants eating out quick services takeout take out full service curbside pickups,
442542,The Evolution of Slow Travel,,travel leisure tourism hotels motels bed breakfasts cabins camping cruise ship domestic leisure self-catering accommodations,
128,Attitudes Towards Media,,advertising marketing televisions tvs internet online web radios prints public channels ,
442577,Legacy of Mega Events in Tourism,,airlines hotels motels car rental vacations leisure bookings agencies company online internet web  personal  reservations agents ,
130,Auto and Home Supply Stores,5531,retail  retailing Automotives Parts Accessories tires cars automobiles motor vehicles batteries radios televisions TVs appliances  dealers aftermarket lubricants brakes fuel autos repairs,"441320, 441310"
131,Auto and Truck,,motor vehicles retail manufacturing sales trucks    automotives automobiles autos  cars,
132,Auto Components: Global,,cars autos automotives automobiles components motor vehicles parts equipment tires rubber aftermarket passenger light trucks repairs,"336211, 423110, 336399, 423120, 441310"
441583,Fast Lube / Auto Oil Change Service,,Oil Change lubes  Lubrication Motor Vehicles Towing Automotives Repairs  Maintenance automobiles cars autos emissions inspections diagnostics tinting  do-it-yourself do it yourself parts,
135,Auto Exhaust System Repair Shops,7533,automobiles automotives motor vehicles cars autos exhausts systems mufflers tailpipes catalytic converters repairs garages sales installations installing parts,811112
136,Auto Lending,,banks lenders loans autos cars automobiles banking bankers financials finacianing finances,
137,Auto Manufacturing,,motor vehicles cars automotives automobiles,
442087,Landscape Design,,landscaping lawns gardens landscape sod laying mowing seeding mulching planting fertilizing spraying treating cemetery maintenance highway center strip  athletic fields golf courses turf ,54132
442086,Engineering Services,,civil mechanical electrical electronic chemical sanitary industrial petroleum mining aeronautical marine cad cam computer metallurgical plastics ,54133
442640,Women\'s Attitudes Towards Hosiery and Shapewear,,stockings tights apparel accessories clothing sheer opaque pantyhose trouser socks ,
143,Auto Parts,,motor vehicles repairs cars automotives automobiles   autos  accessories services ,
144,Auto Parts and Equipment: Global,,cars automotives automobiles autos motor vehicles after markets repairs,"336399, 423120, 441310, 423140"
145,Auto Parts Manufacturing,,motor vehicles cars automotives automobiles,
146,Auto Parts Retail,,motor vehicles cars automotives automobiles,
442085,Drafting Services,,civil mechanical electrical electronic chemical sanitary industrial petroleum mining aeronautical marine cad cam computer metallurgical plastics ,54134
148,Autogeneration,,electricity energy power generation non utility electric utilities manufacturing manufacturers equipment utilities,
149,Autogeneration: Global,,electricity energy power generation non utility electric utilities manufacturing manufacturers equipment utilities,
150,Automatic Controls for Regulating Residential and Commercial Environments and Appliances,3822,manufacturing heating temperature air conditioning installation refrigeration electrically electronically pneumatically actuated regulators ventilation ventilating HVAC oven controls clothes dryers gas burners thermostats pressure humidity  household environmental  appliance commercial automatic industrial ,334512
151,Automatic Merchandising Machine Operators,5962,Vending Machines sales coin operated machines hot cold beverages foods ice cream  toiletries personal care ,454210
152,Automatic Vending Machines,3581,Automatic Vending Machine coin operated coin-operated mechanisms manufacturing distribution distributors operators industrial machinery equipment accessories,333311
442088,Architectural Services,,architects design firms construction designers,54131
442089,Payroll and Bookkeeping Services,,accountants cpas payroll service accounting bookkeeping auditing data processing business support,54121b
442083,Geophysical Services,,phtogrammetric engineering land water aerial geophysical mapping surveyors business support services,54136
442084,Building Inspection Services,,inspections inspectors homes houses buildings defects faults,54135
441582,Farm Support Services,,buildings developments contracting architecture designs contractors equipment agriculture builders developers farms farming agricultural earth-moving heavy rolling manufacturing manufacturers,
156,Automobile Manufacturers: Global,,automotives cars automobiles autos motor vehicles sales new light commercial trucks vans buses coaches,"336211, 423110, 336111, 811198"
157,Automobile Parking,7521,Parking Lots Garages temporary automobiles cars motor vehicles hourly daily monthly contract fee basis,812930
442082,Surveying and Mapping Services,,phtogrammetric engineering land water aerial geophysical mapping surveyors business support services,54137
159,Automobiles and Components: Global,,automotives components cars autos motor vehicles sales new light trucks commercial vans motorcycles after markets tires replacement parts repairs,"336211, 423110, 336399, 423120, 441310"
160,Automobiles and Other Motor Vehicles,5012,Wholesalers wholesaling distribution distributing distributors new passenger trucks trailers motorcycles motor homes used snowmobiles autos cars automotives sales ,421110
161,Automobiles: Global,,automotives automobiles cars autos motor vehicles manufacturing motorcycles new light commercial on off road scooters mopeds sales,"336211, 423110, 336111, 811198"
162,Automotive,,motor vehicles cars automotives automobiles,
163,Automotive Aftermarket,,automobiles cars autos automotives motor vehicles services parts wear tear mechanical tires crash consumables accessories filters wiper blades ignition plugs oil batteries emission systems brakes pads discs ride control transmissions power train body lighting glass paint solvents cleaners  waxes polishes windscreens washes antifreeze alarms security alloy wheels storage interiors mats exteriors spoilers repairs,"336211, 423110, 336111, 811198"
442090,Accounting and Tax Preparation Services,,accountants cpas payroll service accounting bookkeeping auditing data processing business support,54121a
442091,Conveyancing Services,,contracts liens titles property properties law lawyers land ,54119
442092,Law Firms,,offices lawyers advice attorneys counselors law offices legal aid patent solicitors referees business support ,54111
442093,Intellectual Property Licensing and Franchise Leasing,,non-financial assets leasing franchises  copyrights licenses intangible rights copyright licensing music radio stations sheet record royalties performance artists publishing media entertainment,53311
166,"Automotive Dealers, Not Elsewhere Classified",5599,Motor Vehicle Dealers sales automobiles autos cars used snowmobiles go-karts dune buggies utility trailers and golf carts automotives,441229
441581,Farm Equipment Manufacture,,buildings developments contracting architecture designs contractors equipment agriculture builders developers farms farming agricultural earth-moving heavy rolling manufacturing manufacturers,
168,Automotive Glass Replacement Shops,7536,repairs repairing installations sales installing  automotives automobiles cars autos parts motor vehicles,811122
169,"Automotive Repair Shops, Not Elsewhere Classified",7539,Automotives Mechanical  Electrical Repairs Maintenance autos automobiles cars carburetors brakes front-end front end alignment radiator autos motor vehicles parts,811118
170,Automotive Retail: Global,,automotives autos retail automobiles cars retailing sales dealers gas fuel stations components new used passenger light commercial motor vehicles trucks dealerships auction houses forecourt shops  wash washes after markets tires rubber replacement sales ,"336211, 423110, 453998"
172,"Automotive Services, Except Repair and Carwashes",7549,Oil Change lubes  Lubrication Motor Vehicles Towing Automotives Repairs  Maintenance automobiles cars autos emissions inspections diagnostics tinting  do-it-yourself do it yourself parts,"811181, 488410, 811198"
173,Automotive Stampings,3465,Motor Vehicles Metal Stamping autos parts autoparts hubs body panels automobiles cars trims manufacturing repairs,336370
174,Automotive Transmission Repair Shops,7537,motor vehicles cars automobiles installations sales mechanics autos installing repairs transmissions parts repairs,811113
175,"Automotive Trimmings, Apparel Findings, and Related Products",2396,printing stamping garments silk screening trimmings bindings  linings hats suits coats neckties purses luggage shoulder pads straps waistbands ribbons bows sweatbands visors caps textiles fabrics accessories seats motor vehicles screens apparel mills manufacturing automotives automobiles cars autos  parts repairs,"336360, 315999, 323113, 314999"
441367,Ophthalmic Goods,5048,wholesalers distribution distributing ophthalmologists optometrists opticians frames lenses sunglasses contact optometric equipment supplies devices eyewear prescription nonprescription  goggles reading magnifiers,421460
177,Aviation,,planes aerospace  airplanes air planes,
442572,Beer: The Consumer,,alcohols alcoholic beverages beers ales,
442573,Beer: The Market,,alcohols alcoholic beverages beers ales,
179,Baby Durables,,mobility car seats strollers systems carriers furniture cribs bassinets dressers changing tables rockers gliders daytime care gyms play mats centers swings bouncers exercise wellness babycare safety diaper disposal bathtubs tubs gates  monitors potties health safety equipment  household,
180,Baby Food and Drink,,beverages foods powdered ready to drink rtd concentrated canned formula jarred cereals snacks juices,
441599,Furniture Manufacturing,,stores wholesalers wholesale distribution distributors distributing wholesaling furnitures bedsprings mattresses office furniture public parks buildings lawn,
182,Bagged Salad and Salad Dressings,,foods salads fresh cut packaged pre-washed lettuce blends ready to eat rte coleslaws refrigerated cabbages  shelf stable dry mix dried,"31142, 311941"
183,Baking and Dessert Mixes,,foods cakes dry packaged boxed  breads biscuits muffins brownies scones cookies pancakes pastries pudding gelatin jello dried,
184,Ball and Roller Bearings,3562,Manufacturing pillow block flange take-up cartridges hangar units industrial machinery equipment accessories parts,332991
185,"Bands, Orchestras, Actors, and Other Entertainers and Entertainment Groups",7929,musical groups artists performers performing arts concerts live magic shows comedians actors actresses entertainment womens childrens  ,"711130, 711510, 711190"
186,Bank,,banks loans banking atms checking savings assets trusts deposits financial mortgages investments money monies finances  automatic teller machines automated  financing bankers lending lenders,
187,Bank (Canadian),,banks loans banking atms checking savings assets trusts deposits financial mortgages investments money monies finances  automatic teller machines automated  financing bankers loans branches lending lenders,
188,Bank (Midwest),,banks loans banking atms checking savings assets trusts deposits financial mortgages investments money monies finances  automatic teller machines automated  financing bankers loans branches lending lenders,
189,Banking,,bankers banks finances financials financing lenders loans lending,
190,Banking - Canada,,bankers banks finances financials financing lenders loans lending,
194,Banks: Global,,banking services finances financing financials lending loans lenders mortgages savings regional bankers ,"522110, 522292"
195,Barber Shops,7241,mens styling colleges hair cutting care schools barbers  consumer services,"812111, 611511"
196,Basic and Intermediate Chemical and Petrochemical Manufacturing,,,
197,Bath and Shower Products,,toiletries cosmetics personal care liquid baths gels soaps hygiene," 446120, 325620"
198,Bath and Shower Products: Global,,toiletries cosmetics personal care liquid baths gels soaps hygiene," 446120, 325620"
199,Batteries,,battery households dry cell primary nonrechargable secondary rechargeable alkaline zinc air lithium nickel metal hydride nimh cadmium nicd ion li-ion products,
200,Beauty and Personal Care Products Consumer (The),,cosmetics eye shadow eyeliners eyebrow makeup make up mascara lipsticks gloss color concealer face powders foundations blush cheek color facial skincare skin are anti aging creams lotions wrinkles microdermabrasion scrubs masks peels body moisturizers toners haircare shampoos conditioners hair styling loss removal mens fragrances colognes perfumes womens toiletries shaving creams grooming kits ,
201,Beauty Shops,7231,hairdressing hair care salons nails cosmetology  unisex schools barbers  consumer services,"812112, 812113, 611511"
202,Bed and Bath Linens,,sheets towels households products pillowcases comforters sleep pillows foam toppers blankets down  quilts throws,
203,Beef Cattle Except Feedlots,212,Ranching Farming livestock farms ranches animals,
204,Beef Cattle Feedlots,211,Ranching Farming livestock farms ranches animals,
205,Beer,,alcohols beverages alcoholic beers ales stouts bitters lager premium low no specialty,"312120, 424810"
206,Beer and Ale Distribution,5181,Wholesalers alcoholic beverages beers ales porters malts fermented alcohols,
207,Beer: Global,,alcohols beverages alcoholic beers ales stouts bitters lager premium low no specialty,"312120, 424810"
208,Beet Sugar,2063,Manufacturing beets processing farming farms agriculture agricultural dried beet pulp molasses granulated sugars liquid invert powdered syrup foods,311313
209,Berry Crops,171,"cranberries strawberries bush berries blackberries, blueberries currants dewberries loganberries boysenberries raspberries farming  agricultural agriculture farms berry berries","111333, 111334"
210,Beverage (Alcoholic),,alcohols beverages alcoholic     beers brewers brewing wines wineries ales lagers ciders distilled spirits liquor ,
211,Beverage (Soft Drink),,beverages nonalcoholic non-alcoholic drinks carbonated   sodas energy bottled waters sports drinks bottling teas juices bottlers smoothies iced teas lemonades cocktails vitamins  ,
442594,Healthy Dining Trends,,restaurants fast food drive in family steak houses restaurants food at home away breakfast lunch dinner snacks evening meal supper ,
442595,Lunch Meat,,delis oscar mayer bologna  ,
442596,Mobile Gaming,,internet web  on-line personal computer software mmogs massively multiplayer games mobile consumer electronics,
442597,Movie Consumption at Home,,movies film theatres theaters exhibitors operators box office cinemas netflix ,
442598,Private Label Beauty,,cosmetics personal care make up beauty supplies color cosmetics face foundations powders blushers rouges eyes shadows eyeliners eyebrows pencils mascaras lips lipsticks glosses pencils pots palettes beauty supplies cosmeceuticals pharmaceutical ingredients ,
214,Beverages,,alcoholic nonalcoholic alcoholic,
215,Beverages: Global,,alcohols alcoholic beverages soft drinks beers ciders flavoured flavored fabs spirits wines,
443160,Hydroelectric Power Plant Construction,,,
217,"Biological Products, Except Diagnostic Substances",2836,Manufacturing  healthcare health care drugs pharmaceuticals biotechnology  bacterial virus vaccines toxoids serums plasmas blood derivatives human veterinary  micro biological,325414
218,Biotech,,pharmaceuticals biotechs drugs health healthcare  care cancer anticancer biogenetics generics biologics biosimilars medicines,
443124,Online Large Kitchen Appliance Sales,, freezers Dishwashers ranges ovens washing and drying machines refrigerators,
220,Biotechnology,,biotechnology biotechs drugs health healthcare care,
225,Biotechnology: Global,,biotechnology biotechs drugs health healthcare care,
226,Biscuits,,foods baked goods cookies sweet butter-based chocolate cream-filled plain wafers cookies  foods bakeries in-store,"311811, 311812, 445291, 311821"
227,Biscuits: Global,,foods baked goods cookies sweet butter-based chocolate cream-filled plain wafers cookies foods bakeries in-store,"311811, 311812, 445291"
228,Bituminous Coal and Lignite Surface Mining,1221,coals lignites minerals auger strip clum  bank ,212111
229,Bituminous Coal Underground Mining,1222,coals minerals ,212111
230,Black Americans' Health Attitudes and Behaviors,,lifestyles consumer behaviors demographics health diet exercise doctors otc over the counter drugs prescriptions medicines medications diseases ,
231,Black Haircare,,hair personal care shampoos conditioners hair relaxers styling oil moisturizers pomades color colorants beauty supplies cosmetics,
232,"Blankbooks, Looseleaf Binders and Devices",2782,manufacturing checkbooks ruling papers  albums ruled chart graph record albums printing printers,"323110, 323111, 323112, 323113, 323119, 323118"
233,Bleach,,bleaching households  cleaners cleaning liquid powdered powders  bleaches ,313312
234,Bleach: Global,,bleaching households  cleaners cleaning liquid powdered powders  bleaches ,313312
235,Boat Building and Repairing,3732, Repairs manufacturing Maintenance outboard pleasure stern drive inboard outdrive cabin cruisers sports boats sailboards auxiliary powered craft water craft,"811490, 336612"
236,Boat Dealers,5551,dealers sales new used motorboats watercraft  marine supplies outboard motors kayaks boats boating,441222
237,Body Care,,skin lotions personal care hands creams emollients anti cellulite firming beauty supplies cosmetics ,
238,"Bolts, Nuts, Screws, Rivets, and Washers",3452,Manufacturing metal formed threaded wire industrial fasteners industrial machinery accessories parts equipment,332722
441569,"Electrical, Plumbing, and Hardware Distributors",,building materials dealers wholesalers construction steam hot water boilers prefabricated fireplaces oil burners fixtures solar heating panels water softeners,
