c_id,c_sur_id,c_so_id,c_url
2956,50,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WA5&site=bsi-live
2957,50,5,http://www.lexisnexis.com/us/lnacademic/api/version1/sf?shr=t&sfi=AC00NBGenSrch&csi=3746
5334,2224,55,
2959,50,28,http://academic.mintel.com/
2960,54,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WA0&site=bsi-live
6583,442593,28,http://academic.mintel.com/
2963,57,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WA7&site=bsi-live
2964,58,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
5333,2159,55,
2966,60,5,http://www.lexisnexis.com/us/lnacademic/api/version1/sf?shr=t&sfi=AC00NBGenSrch&csi=3746
2967,61,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=181O&site=bsi-live
2968,62,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=1836&site=bsi-live
2970,64,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2971,65,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2972,66,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WAB&site=bsi-live
2973,67,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WAQ&site=bsi-live
2974,68,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2975,69,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2976,70,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2977,71,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2978,72,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2979,73,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WAM&site=bsi-live
2980,74,28,http://academic.mintel.com/
6557,442567,28,http://academic.mintel.com/
2982,76,28,http://academic.mintel.com/
2983,77,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2984,78,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2985,79,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
5540,441543,69,http://proquest.umi.com/pqdweb?RQT=325&type=222&npc=22&pmid=102509&TS=1260302720&clientId=3740
2987,81,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2988,82,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2989,83,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2990,84,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2991,85,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2992,86,28,http://academic.mintel.com/
5539,441542,69,http://proquest.umi.com/pqdweb?RQT=325&type=222&npc=22&pmid=102509&TS=1260302720&clientId=3740
2995,89,28,http://academic.mintel.com/
2996,90,5,http://www.lexisnexis.com/us/lnacademic/api/version1/sf?shr=t&sfi=AC00NBGenSrch&csi=3746
2997,90,11,
2998,91,5,http://www.lexisnexis.com/us/lnacademic/api/version1/sf?shr=t&sfi=AC00NBGenSrch&csi=3746
2999,92,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
5332,2158,55,
5506,441510,69,http://proquest.umi.com/pqdweb?RQT=325&type=222&npc=22&pmid=102509&TS=1260302720&clientId=3740
3002,95,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WBD&site=bsi-live
3003,96,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3004,97,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=14HI&site=bsi-live
3005,98,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=151B&site=bsi-live
3006,100,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WBH&site=bsi-live
3007,101,5,http://www.lexisnexis.com/us/lnacademic/api/version1/sf?shr=t&sfi=AC00NBGenSrch&csi=3746
3008,102,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WBI&site=bsi-live
3009,103,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3010,104,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3011,105,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3012,106,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3013,107,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3014,108,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3015,109,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3016,110,28,http://academic.mintel.com/
3017,111,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3018,112,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
5503,441508,69,http://proquest.umi.com/pqdweb?RQT=325&type=222&npc=22&pmid=102509&TS=1260302720&clientId=3740
5454,441459,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=2QYS&site=bsi-live
5453,441458,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=2QYQ&site=bsi-live
6690,442699,71,http://clients1.ibisworld.com.ezproxy.bu.edu/reports/us/specializedreports/home.aspx
3024,118,28,http://academic.mintel.com/
3025,119,28,http://academic.mintel.com/
3026,120,28,http://academic.mintel.com/
3027,121,28,http://academic.mintel.com/
3028,122,28,http://academic.mintel.com/
3029,123,28,http://academic.mintel.com/
3030,124,28,http://academic.mintel.com/
3031,125,28,http://academic.mintel.com/
3032,126,28,http://academic.mintel.com/
6531,442542,28,http://academic.mintel.com/
3034,128,28,http://academic.mintel.com/
3036,130,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3037,131,11,
3038,132,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=187C&site=bsi-live
5551,441554,69,http://proquest.umi.com/pqdweb?RQT=325&type=222&npc=22&pmid=102509&TS=1260302720&clientId=3740
3041,135,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3042,136,5,http://www.lexisnexis.com/us/lnacademic/api/version1/sf?shr=t&sfi=AC00NBGenSrch&csi=3746
3043,137,5,http://www.lexisnexis.com/us/lnacademic/api/version1/sf?shr=t&sfi=AC00NBGenSrch&csi=3746
6077,442085,70,http://www.ibisworld.com.ezproxy.bu.edu/industry/home.aspx
6076,442084,70,http://www.ibisworld.com.ezproxy.bu.edu/industry/home.aspx
3049,143,11,
3050,144,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WBT&site=bsi-live
3051,145,5,http://www.lexisnexis.com/us/lnacademic/api/version1/sf?shr=t&sfi=AC00NBGenSrch&csi=3746
3052,146,5,http://www.lexisnexis.com/us/lnacademic/api/version1/sf?shr=t&sfi=AC00NBGenSrch&csi=3746
6075,442083,70,http://www.ibisworld.com.ezproxy.bu.edu/industry/home.aspx
3054,148,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WC1&site=bsi-live
3055,149,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WBY&site=bsi-live
3056,150,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3057,151,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3058,152,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
6078,442086,70,http://www.ibisworld.com.ezproxy.bu.edu/industry/home.aspx
5550,441553,69,http://proquest.umi.com/pqdweb?RQT=325&type=222&npc=22&pmid=102509&TS=1260302720&clientId=3740
3062,156,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WCA&site=bsi-live
3063,157,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
6074,442082,70,http://www.ibisworld.com.ezproxy.bu.edu/industry/home.aspx
3065,159,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WCJ&site=bsi-live
3066,160,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3067,161,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WCK&site=bsi-live
3068,162,8,http://www.mergentonline.com/
3069,163,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WCL&site=bsi-live
6079,442087,70,http://www.ibisworld.com.ezproxy.bu.edu/industry/home.aspx
3072,166,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
5549,441552,69,http://proquest.umi.com/pqdweb?RQT=325&type=222&npc=22&pmid=102509&TS=1260302720&clientId=3740
3074,168,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3075,169,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3076,170,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=1E9N&site=bsi-live
3078,172,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3079,173,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3080,174,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3081,175,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
5331,2132,55,
3083,177,8,http://www.mergentonline.com/
6562,442572,28,http://academic.mintel.com/
3085,179,28,http://academic.mintel.com/
3086,180,28,http://academic.mintel.com/
3088,182,28,http://academic.mintel.com/
3089,183,28,http://academic.mintel.com/
3090,184,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3091,185,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3092,186,11,
3093,187,11,
3094,188,11,
3095,189,5,http://www.lexisnexis.com/us/lnacademic/api/version1/sf?shr=t&sfi=AC00NBGenSrch&csi=3746
3096,189,8,http://www.mergentonline.com/
5330,441358,55,
3098,190,5,http://www.lexisnexis.com/us/lnacademic/api/version1/sf?shr=t&sfi=AC00NBGenSrch&csi=3746
3100,194,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WD0&site=bsi-live
3101,195,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3102,196,5,http://www.lexisnexis.com/us/lnacademic/api/version1/sf?shr=t&sfi=AC00NBGenSrch&csi=3746
3103,197,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WDE&site=bsi-live
3104,198,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WDB&site=bsi-live
3105,199,28,http://academic.mintel.com/
3106,200,28,http://academic.mintel.com/
3107,201,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3108,202,28,http://academic.mintel.com/
3109,203,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3110,204,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3111,205,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WE5&site=bsi-live
3112,206,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3113,207,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WDR&site=bsi-live
3114,208,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3115,209,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3116,210,11,
3117,211,11,
6580,442590,28,http://academic.mintel.com/
6581,442591,28,http://academic.mintel.com/
3120,214,5,http://www.lexisnexis.com/us/lnacademic/api/version1/sf?shr=t&sfi=AC00NBGenSrch&csi=3746
3121,215,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WE7&site=bsi-live
3123,217,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3124,218,8,http://www.mergentonline.com/
3126,220,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WEO&site=bsi-live
3127,220,5,http://www.lexisnexis.com/us/lnacademic/api/version1/sf?shr=t&sfi=AC00NBGenSrch&csi=3746
3128,220,8,http://www.mergentonline.com/
5329,441357,55,
3130,220,11,
3131,225,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WEH&site=bsi-live
3132,226,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WF0&site=bsi-live
3133,227,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WEX&site=bsi-live
3134,228,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3135,229,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3136,230,28,http://academic.mintel.com/
3137,231,28,http://academic.mintel.com/
3138,232,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3139,233,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=1XYV&site=bsi-live
3140,234,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=1XYS&site=bsi-live
3141,235,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3142,236,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3143,237,28,http://academic.mintel.com/
3144,238,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
5538,441541,69,http://proquest.umi.com/pqdweb?RQT=325&type=222&npc=22&pmid=102509&TS=1260302720&clientId=3740
5537,441540,69,http://proquest.umi.com/pqdweb?RQT=325&type=222&npc=22&pmid=102509&TS=1260302720&clientId=3740
3147,241,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
5452,441457,5,http://www.lexisnexis.com.ezproxy.bu.edu/us/lnacademic/search/urlapiRunSearch.do?sfi=AC00NBGenSrch&csi=3746&searchTerms=Industry+Snapshots&shr=t&secondRedirectIndicator=true&rand=0.8916375135936007
5451,441456,2,http://find.galegroup.com.ezproxy.bu.edu/gvrl/infomark.do?type=aboutBook&prodId=GVRL&eisbn=0787693707&version=1.0&userGroupName=bost84371&source=gale
3151,245,28,http://academic.mintel.com/
3152,246,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3153,247,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3154,248,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3155,249,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3156,250,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3157,251,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WFV&site=bsi-live
3158,251,28,http://academic.mintel.com/
3159,253,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WFK&site=bsi-live
3160,254,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3161,255,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3162,256,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3163,257,28,http://academic.mintel.com/
3164,258,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WGI&site=bsi-live
3165,259,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WG7&site=bsi-live
3166,260,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
6684,442693,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WD5&site=bsi-live
3168,262,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WH3&site=bsi-live
3169,262,28,http://academic.mintel.com/
3170,264,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WGT&site=bsi-live
3171,265,28,http://academic.mintel.com/
6683,442692,28,http://academic.mintel.com/
6682,442691,28,http://academic.mintel.com/
3174,268,5,http://www.lexisnexis.com/us/lnacademic/api/version1/sf?shr=t&sfi=AC00NBGenSrch&csi=3746
3175,269,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WH5&site=bsi-live
3176,270,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3177,271,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3178,272,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3179,273,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WHT&site=bsi-live
3180,274,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WHK&site=bsi-live
5328,1957,55,
3182,276,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3183,277,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3184,278,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3185,279,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3186,280,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3187,281,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3188,282,11,
3189,283,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WI2&site=bsi-live
3190,284,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WHZ&site=bsi-live
3191,285,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3192,286,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3193,287,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3194,288,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3195,289,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
5588,441590,69,http://proquest.umi.com/pqdweb?RQT=325&type=222&npc=22&pmid=102509&TS=1260302720&clientId=3740
3197,291,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3198,292,28,http://academic.mintel.com/
3199,293,28,http://academic.mintel.com/
3200,294,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3201,295,5,http://www.lexisnexis.com/us/lnacademic/api/version1/sf?shr=t&sfi=AC00NBGenSrch&csi=3746
3202,296,11,
3203,297,5,http://www.lexisnexis.com/us/lnacademic/api/version1/sf?shr=t&sfi=AC00NBGenSrch&csi=3746
3204,298,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=1E54&site=bsi-live
3205,299,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=1E9P&site=bsi-live
3206,300,28,http://academic.mintel.com/
5573,441576,69,http://proquest.umi.com/pqdweb?RQT=325&type=222&npc=22&pmid=102509&TS=1260302720&clientId=3740
3208,302,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
5536,441539,69,http://proquest.umi.com/pqdweb?RQT=325&type=222&npc=22&pmid=102509&TS=1260302720&clientId=3740
3211,305,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3212,306,28,http://academic.mintel.com/
3213,307,28,http://academic.mintel.com/
3214,308,11,
5535,441538,69,http://proquest.umi.com/pqdweb?RQT=325&type=222&npc=22&pmid=102509&TS=1260302720&clientId=3740
3217,311,28,http://academic.mintel.com/
3218,312,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3219,313,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3220,314,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3221,315,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3222,316,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3223,317,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=1821&site=bsi-live
3224,318,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=1837&site=bsi-live
6532,442543,28,http://academic.mintel.com/
3226,320,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3227,321,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3228,322,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3229,323,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WKB&site=bsi-live
3230,324,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=187D&site=bsi-live
3231,325,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WLW&site=bsi-live
3232,325,28,http://academic.mintel.com/
3233,327,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WLN&site=bsi-live
3234,328,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3235,329,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3236,330,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
3237,331,5,http://www.lexisnexis.com/us/lnacademic/api/version1/sf?shr=t&sfi=AC00NBGenSrch&csi=3746
3238,332,28,http://academic.mintel.com/
3239,333,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=WMK&site=bsi-live
